Stock,Date ,Date
AA,1 for 3 ,10/6/2016
ABIO,1 for 18 ,4/4/2019
ACER,96 for 1000 ,9/21/2017
ACHC,1 for 4 ,11/1/2011
ACHV,1 for 10 ,5/24/2018
ACLS,1 for 4 ,7/1/2016
ACST,1 for 10 ,10/15/2015
ACUR,1 for 5 ,8/28/2015
ADMP,1 for 17 ,12/13/2013
ADXS,1 for 15 ,3/29/2019
AE,1 for 2 ,2/10/1992
AEMD,1 for 15 ,10/15/2019
AEZS,1 for 100 ,11/20/2015
AGD,1 for 2 ,1/21/2014
AGQ,1 for 4 ,1/24/2014
AGR,1 for 10 ,5/31/2005
AHPI,1 for 2 ,12/7/2016
AI,1 for 20 ,10/7/2009
AIC,1 for 5 ,11/24/1997
AIG,1 for 20 ,7/1/2009
AINV,1 for 3 ,12/3/2018
AIQ,1 for 5 ,12/27/2012
AIRG,1 for 5 ,11/9/1998
AIRT,1 for 5 ,5/16/1994
AKER,1 for 24 ,11/25/2019
ALBO,1 for 30 ,11/4/2016
ALC,1 for 5 ,3/17/2009
ALE,1 for 3 ,9/21/2004
ALIM,1 for 15 ,11/15/2019
ALLY,10 for 35 ,2/1/1999
ALO,1 for 10 ,5/16/2017
ALPN,1 for 4 ,7/25/2017
ALT,1 for 30 ,9/14/2018
AMPE,1 for 20 ,11/1/2004
AMRH,1 for 25 ,11/25/2019
AMRN,1 for 10 ,10/19/1998
AMRS,1 for 15 ,6/6/2017
AMSC,1 for 10 ,3/25/2015
ANIP,1 for 6 ,7/18/2013
ANTH,1 for 8 ,5/1/2017
ANY,1 for 8 ,11/6/2018
AOD,1 for 2 ,1/21/2014
APDN,1 for 40 ,11/1/2019
APEN,10 for 55 ,12/30/2016
APRN,1 for 15 ,6/17/2019
APVO,1 for 14 ,3/27/2020
ARA,1 for 2 ,3/17/1997
ARCW,1 for 50 ,2/12/2007
ARGT,1 for 2 ,5/16/2013
ARL,1 for 3 ,12/11/1990
ARNA,1 for 10 ,6/19/2017
ARR,1 for 8 ,8/3/2015
ARWR,1 for 65 ,1/15/2004
ASMB,1 for 5 ,7/14/2014
ASNA,1 for 20 ,12/19/2019
ASTC,1 for 5 ,10/16/2017
ASYS,1 for 2 ,6/7/1993
ATEC,1 for 12 ,8/25/2016
ATOS,1 for 12 ,4/20/2018
ATRC,1 for 10 ,2/1/1996
ATV,3 for 20 ,11/30/2015
AVEO,1 for 10 ,2/20/2020
